genre,code
AKUSTILINE INDIE-ROCK,ACOUSTIC INDIE ROCK
ALTERNATIIV,ALTERNATIVE
ALTERNATIIV-ROCK,ALTERNATIVE ROCK
ALTERNATIIVROCK,ALTERNATIVE ROCK
ALTERNATIIVROK,ALTERNATIVE ROCK
ALTERNATIIVROKK,ALTERNATIVE ROCK
ALTERNATYVUS ROKAS,ALTERNATIVE ROCK
ALTERNATYVUSIS ROKAS,ALTERNATIVE ROCK
ALTERNATĪVA MŪZIKA,ALTERNATIVE
ALTERNATĪVAIS METĀLS,ALTERNATIVE METAL
ALTERNATĪVAIS ROKS,ALTERNATIVE ROCK
ALTERNATĪVĀ MŪZIKA,ALTERNATIVE
AMBIENTĀ MŪZIKA,AMBIENT
APT-POK,ART ROCK
ARTROKAS,ART ROCK
AVANGARD,AVANTGARDE
AVANGARD DŽÄSS,AVANTGARDE JAZZ
AVANGARDAS,AVANTGARDE
AVANGARDS,AVANTGARDE
AРТ-РОК,ART ROCK
BALTIŠKŲ GELMIŲ ŽAISMĖ,BLACK METAL
BALTU ROKS,BALTIC ROCK
BIG-BITAS,BIG BEAT
BIIT,BEAT
BLACK METAL,BLACK METAL
BLACK METALAS,BLACK METAL
BLIUZAS,BLUES
BLŪZS,BLUES
BREAKBEAT,BREAK BEAT
BRITPOP,BRIT POP
BRITPOPS,BRIT POP
BĪTBOKSS,BEAT BOX
CLASSIC,CLASSICAL
DAB,DUB
DAINUOJAMOJI POEZIJA,BARD
DAINUOJANTYS MIMAI,PRISON ROCK
DANCE MUSIC,DANCE
DANCE-POP,DANCE POP
DARKWAVE,DARK WAVE
DEATH-METAL,DEATH METAL
DEATH/GRIND,DEATH GRIND
DEATHGRIND,DEATH GRIND
DEJU MŪZIKA,DANCE
DEJU MŪZIKASGRUPA,DANCE
DEPRESSIIVROK,DEPRESSIVE ROCK
DISCO-POP,POP DISCO
DISKO,DISCO
DISKOANSAMBEL,DISCO
DREAMPOP,DREAM POP
DRUM & BASS,DRUM-N-BASS
DRUM &amp; BASS,DRUM-N-BASS
DRUM&BASS,DRUM-N-BASS
DRUM&amp;BASS,DRUM-N-BASS
DRUM‘N’BASS,DRUM-N-BASS
DŪMMETĀLS,DOOM METAL
DŽEZS,JAZZ
DŽIAZAS,JAZZ
EBM,ELECTRONIC BODY MUSIC
EBM (ELECTRONIC BODY MUSIC),ELECTRONIC BODY MUSIC
EKSPERIMENTAAL,EXPERIMENTAL
EKSPERIMENTINĖ,EXPERIMENTAL
EKSPERIMENTĀLAIS ROKS,EXPERIMENTAL ROCK
EKSPERIMENTĀLĀ MŪZIKA,EXPERIMENTAL
ELEC,ELECTRONIC
ELECTRO,ELECTRONIC
ELECTRO-INDUSTRIAL,ELECTRO INDUSTRIAL
ELECTRONIC MUSIC,ELECTRONIC
ELECTRONICA,ELECTRONIC
ELEKTRO-POP,ELECTRO POP
ELEKTRONIKA,ELECTRONIC
ELEKTRONINĖ,ELECTRONIC
ELEKTRONINĖ MUZIKA,ELECTRONIC
ELEKTRONISKĀ DEJU MŪZIKA,ELECTRONIC BODY MUSIC
ELEKTRONISKĀ MŪZIKA,ELECTRONIC
ELEKTROONIKA,ELECTRONIC
ELEKTROONILINE,ELECTRONIC
ELEKTROONILINE MUUSIKA,ELECTRONIC
ELEKTROONILINE POPP,ELECTRO POP
ELEKTROONILISE,ELECTRONIC
ELEKTROONILIST INDIE,ELECTRONIC INDIE
ELEKTROPOP,ELECTRO POP
ESTRAADIANSAMBEL,ESTRADE
ESTRAADIORKESTER,ESTRADE
ESTRAADIORKESTR,ESTRADE
ETNO,ETHNO
ETNO-JAZZ,ETHNO JAZZ
ETNO-POP-DŽÄSS,ETHNO POP JAZZ
ETNOMÕJUTUSTEGA ALT-ROCK,ETHNO ALTERNATIVE ROCK
EURO-DANCE,EURO DANCE
EURO-POP,EURO POP
EURODANCE,EURO DANCE
FANKROKS,FUNK ROCK
FILMIMUUSIKA,SOUNDTRACKS
FLOK,FOLK
FOCK,FOLK
FOLK,FOLK
FOLK MUSIC,FOLK
FOLK-METAL,FOLK METAL
FOLK-ROCK,FOLK ROCK
FOLKDŽÄSS,FOLK JAZZ
FOLKMETĀLS,FOLK METAL
FOLKMUUSIKA,FOLK
FOLKMŪZIKA,FOLK
FOLKPOPS,POP FOLK
FOLKROKAS,FOLK ROCK
FOLKROKS,FOLK ROCK
FREEROCK,FREE ROCK
FUNK-ROCK,FUNK ROCK
FUNKY,FUNK
GARĀŽROKS,GARAGE ROCK
GOTIKINIS METALAS,GOTHIC METAL
GOTIKINIS ROKAS,GOTHIC ROCK
GOTISKAIS METĀLS,GOTHIC METAL
GRANDŽMŪZIKA,GRUNGE
GUTZUL ROOTS,TRADITIONAL
GYPSY-ТВІСТ,GYPSY TWIST
HARD 'N' HEAVY,HARD-N-HEAVRY
HARD'N'HEAVY,HARD-N-HEAVRY
HARDROCK,HARD ROCK
HEVIANSAMBEL,HEAVY METAL
HIP,HIP HOP
HIP-HOP,HIP HOP
HIPHOP,HIP HOP
HIPHOPS,HIP HOP
HЕОКЛАССИКА,NEOCLASSICAL
INDIPOPS,INDIE POP
INDUSTRIAL-CYBERPUNK-FOLK,INDUSTRIAL CYBER PUNK FOLK
INDUSTRINIS METALAS,INDUSTRIAL METAL
INDUSTRIĀLAIS ROKS,INDUSTRIAL ROCK
INDUSTRIĀLĀ MŪZIKA,INDUSTRIAL
INDĪPOPS,INDIE POP
INDĪROKS,INDIE ROCK
INSTRUMENTAALANSAMBEL,INSTRUMENTAL ENSEMBLE
INSTRUMENTĀLAIS ANSAMBLIS,INSTRUMENTAL ENSEMBLE
INSTRUMENTĀLĀ MŪZIKA,INSTRUMENTAL
JAUNAIS VILNIS,NEW WAVE
JAZZ-ROCK,JAZZ ROCK
JAZZFUSION,JAZZ FUSION
KAMERMŪZIKA,CHAMBER
KAMERROKS,CHAMBER ROCK
KAMMERMUUSIKAT,CHAMBER
KANTRI,COUNTRY
KANTRIMŪZIKA,COUNTRY
KANTRIPANKS,COUNTRY PUNK
KLASIKA,CLASSICAL
KLASIKINĖ MUZIKA,CLASSICAL
KLASSIKA,CLASSICAL
KOMĒDIJROKS,COMEDY ROCK
MAINSTREAM METAL,METAL
MEDIEVAL MUSIC,MEDIEVAL
METAL ALTERNATIV,ALTERNATIVE METAL
METALAS,METAL
NEO-FOLK,NEW FOLK
NEOFOLK,NEW FOLK
NEWFOLK,NEW FOLK
NEWWAVE,NEW WAVE
NOMIERINOŠĀ MŪZIKA,SOOTHING MUSIC
NU JAZZ,NEW JAZZ
NU-JAZZ,NEW JAZZ
NĀVES METĀLS,DEATH METAL
PAGONIŠKASIS METALAS,PAGAN METAL
PAGĀNMETĀLS,PAGAN METAL
PANKROKAS,PUNK ROCK
PANKROKS,PUNK ROCK
PLAYBEAT-METAL,PLAYBEAT METAL
POP ROK,POP ROCK
POP-FOLK,POP FOLK
POP-PUNK,POP PUNK
POP-ROCK,POP ROCK
POP-ROK,POP ROCK
POPMUUSIKA,POP
POPMŪZIKA,POP
POPPANKS,POP PUNK
POPROKS,POP ROCK
POPS,POP
POPULIAROJI KLASIKA,POPULAR CLASSICS
POST-BRITPOP,POST BRITPOP
POST-GRUNGE,POST GRUNGE
POST-HARDCORE,POST HARDCORE
POST-ROCK,POST ROCK
POSTGRANDŽS,POST GRUNGE
POSTMETALS,POST METAL
POSTMETĀLS,POST METAL
POSTPANKS,POST PUNK
POSTROKS,POST ROCK
PROGE ROCK,PROGRESSIVE ROCK
PROGEROCK,PROGRESSIVE ROCK
PROGRESIIVROKK,PROGRESSIVE ROCK
PROGRESSIIVROCK,PROGRESSIVE ROCK
PROGRESSIIVROKK,PROGRESSIVE ROCK
PROGRESSIIVSE METAL,PROGRESSIVE METAL
PROGRESSIIVSET ROCK,PROGRESSIVE ROCK
PROGRESSIVE,PROGRESSIVE ROCK
PROGRESSIVE-METAL,PROGRESSIVE METAL
PROGRESSIVE-POP,PROGRESSIVE POP
PROGRESYVUS METALAS,PROGRESSIVE METAL
PROGRESYVUS ROKAS,PROGRESSIVE ROCK
PROGRESĪVAIS ROKS,PROGRESSIVE ROCK
PSIHODĒLISKAIS ROKS,PSYCHODELIC ROCK
PSÜHHEDEELSET ROCK,PSYCHODELIC ROCK
PUNK-ROCK,PUNK ROCK
PUNK-SKA,SKA PUNK
PUNKROKKANSAMBEL,PUNK ROCK
R&B,RHYTM-N-BLUES
R'N'B,RHYTM-N-BLUES
RAHVALIKKE LAULE,FOLK SONGS
RAHVAMUUSIKA,FOLK
REGEJS,REGGAE
REGGIE,REGGAE
REGILAUL,FOLK SONGS
REGIROK,REGGAE ROCK
REPS,RAP
RETRO-POP,RETRO POP
RHYTM AND BLUES,RHYTM-N-BLUES
RITUALINĖ MUZIKA,RITUAL MUSIC
RNR,ROCK-N-ROLL
ROCK ALTERNATIV,ALTERNATIVE ROCK
ROCK ALTERNATIVO,ALTERNATIVE ROCK
ROCK-ORTHODOX,CHRISTIAN ROCK
ROCK’N’ROLL,ROCK-N-ROLL
ROKAS,ROCK
ROKENROLS,ROCK-N-ROLL
ROKK,ROCK
ROKKMUUSIKA,ROCK
ROKMŪZIKA,ROCK
ROKS,ROCK
RÄPP,RAP
R’N’B,RHYTM-N-BLUES
SINTPOPS,SYNTH POP
SKATEPUNG,SKATE PUNK
SLUDGE METĀLS,SLUDGE METAL
SMAGAIS METĀLS,HEAVY METAL
SMAGAIS PANKROKS,HARDCORE PUNK
SMAGAIS ROKS,HARD ROCK
STREETPUNK,STREET PUNK
SUNKUSIS ROKAS,HARD ROCK
SYNTH-POP,SYNTH POP
SYNTHPOP,SYNTH POP
TANTSUMUUSIK,DANCE
TANTSUMUUSIKA,DANCE
TAUTAS MŪZIKA,FOLK
TAUTASDZIESMA,FOLK
TEACHNO,TECHNO
TECHNI,TECHNO
TECHO,TECHNO
THRASH-METAL,THRASH METAL
THRASH-МЕТАЛ,THRASH METAL
TREŠMETĀLS,THRASH METAL
TRIP-HOP,TRIP HOP
TROKŠŅU MŪZIKA,FOLK
TUMŠAIS AMBIENTS,DARK AMBIENT
UUE MUUSIKA,20TH CENTURY CLASSICAL
VANAMUUSIKA,MEDIEVAL
VOKAAL,VOICE
VOKAAL-AKUSTIK,VOCAL ACOUSTIC
VOKĀL,VOICE
WORLD MUSIC,WORLD MUSIC
WORLD-MUSIC,WORLD MUSIC
«ГЛУМ-РОК»,GLOOM ROCK
ĀRTROKS,ART ROCK
ŠLĀGERMŪZIKA,SCHLAGER
ЄВРОДЕНС,EURO DANCE
ЄВРОПОП,EURO POP
ІНДІ,INDIE
ІНДІ-ПОП,INDIE POP
ІНДІ-РОК,INDIE ROCK
ІНДАСТРІАЛ,INDUSTRIAL
ІНДАСТРІАЛ-РОК,INDUSTRIAL ROCK
ІНДЫ-РОК,INDIE ROCK
ІНСТРУМЕНТАЛЬНА МУЗИКА,INSTRUMENTAL
ІНСТРУМЕНТАЛЬНИЙ РОК,INSTRUMENTAL ROCK
ІРЛЯНДЗКАЯ ТРАДЫЦЫЙНАЯ МУЗЫКА,TRADITIONAL
А КАПЕЛА,A CAPELLA
А КАПЕЛЛА,A CAPELLA
АЎТАРСКАЯ ПЕСНІ,BARD
АБСТРАКТНЫЙ ХИП-ХОП,ABSTRACT HIP HOP
АВАНГАРД,AVANTGARDE
АВАНГАРДНАЯ МУЗЫКА,AVANTGARDE
