group,genres,year,url,genres_coded
"1.5 КГ",ПАНК-РОК;ПОП-ПАНК;СКЕЙТ-ПАНК,1997.0,https://ru.wikipedia.org/wiki/1.5_%D0%BA%D0%B3,PUNK ROCK;POP PUNK;SKATE PUNK
"10-6",HIP-HOP,2002.0,https://et.wikipedia.org/wiki/10-6,HIP HOP
"100 DEBIJA",DEJU MŪZIKA;POPMŪZIKA,1993.0,https://lv.wikipedia.org/wiki/100_Debija,POP;DANCE
"100PRO FAMILY",,,,
"103RD",,,,
"12 ВОЛЬТ",,,,
"15 MEGATONES",ROCK,,,ROCK
"16 HZ",ПОП,1994.0,https://lt.wikipedia.org/wiki/16_Hz,POP
"17 ПИЛОТОВ В ОГНЕ",,,,
"2 QUICK START",,1992.0,https://et.wikipedia.org/wiki/2_Quick_Start,
"2+2",,,,
"23:45",ПОП;R'N'B;ХИП-ХОП,2006.0,https://ru.wikipedia.org/wiki/23:45,POP;RHYTM-N-BLUES;HIP HOP
"24 ЧАСА",,,,
"25/17",ПАНК-РОК;РЭП-РОК;РЭП;РОК;ХИП-ХОП;АЛЬТЕРНАТИВНЫЙ РОК;ИНСТРУМЕНТАЛЬНЫЙ ХИП-ХОП,2002.0,https://ru.wikipedia.org/wiki/25/17,ROCK;ALTERNATIVE ROCK;RAP ROCK;PUNK ROCK;INSTRUMENTAL HIP HOP;RAP;HIP HOP
"2H COMPANY",АБСТРАКТНЫЙ ХИП-ХОП;АЛЬТЕРНАТИВНЫЙ ХИП-ХОП,2004.0,https://ru.wikipedia.org/wiki/2H_Company,ALTERNATIVE HIP HOP;ABSTRACT HIP HOP
2XBBM,ROKENROLS;PSIHODĒLISKAIS ROKS,1969.0,https://lv.wikipedia.org/wiki/2xBBM,ROCK-N-ROLL;PSYCHODELIC ROCK
2XL,,,,
2А9,,,,
2ВА САМОЛЕТА,РЭП;РЭГГЕЙ;ФАНК;АФРОБИТ;СКА;ПАНК;ЛАТИНО,1990.0,https://ru.wikipedia.org/wiki/2%D0%B2%D0%B0_%D0%A1%D0%B0%D0%BC%D0%BE%D0%BB%D1%91%D1%82%D0%B0,FUNK;AFROBEAT;REGGAE;SKA;PUNK;LATINO;RAP
2Г5Р1О7Т,,,,
"3+2",,,"https://be.wikipedia.org/wiki/3%2B2,_%D0%B3%D1%83%D1%80%D1%82",
"33",,,,
"3:15",,,,
3G,,,,
