"group","person","url"
"1.5 КГ","АЛЕКСЕЙ КУЗНЕЦОВ",""
"1.5 КГ","ДМИТРИЙ ГАНЖА",""
"1.5 КГ","ВЯЧЕСЛАВ ФИЛИППОВ",""
"1.5 КГ","АЛЕКСЕЙ СОЛОВЬЕВ",""
"1.5 КГ","АЛЕКСАНДР ЩЕГЛОВ",""
"1.5 КГ","КИРИЛЛ ПАВЛОВСКИЙ",""
"1.5 КГ","КУЛАКОВ, ЕВГЕНИЙ ВЛАДИМИРОВИЧ",""
"10-6","JAANUS SAKS","https://et.wikipedia.org/wiki/Jaanus_Saks"
"10-6","HENRY KÕRVITS",""
"10-6","GRAND CITY PELGU KINGS",""
"10-6","RAINER OLBRI","https://et.wikipedia.org/wiki/Rainer_Olbri"
"100 DEBIJA","MODRIS SKAISTKALNS","https://lv.wikipedia.org/wiki/Modris_Skaistkalns"
"100 DEBIJA","AGRIS SEMĒVICS",""
"100PRO FAMILY","МАСТЕР ШЕFF",""
"103RD","VERITAS PROPHET",""
"12 ВОЛЬТ","ПИВТОРЫПАВЛО, ВИКТОР ВИКТОРОВИЧ",""
"15 MEGATONES","АНДРЕЙ ХАБОНЕН",""
"16 HZ","ROBERTAS JUCEVIČIUS","https://lt.wikipedia.org/wiki/Robertas_Jucevi%C4%8Dius"
"16 HZ","SKAIDRIUS VARSLAUSKAS",""
"16 HZ","PETRAS JUCEVIČIUS",""
"17 ПИЛОТОВ В ОГНЕ","ЛЕВИН, ЕВГЕНИЙ ПЕТРОВИЧ",""
"2 QUICK START","JÜRI MAZURCAK",""
"2 QUICK START","ILMAR LAISAAR",""
"2 QUICK START","URMAS KAHK",""
"2 QUICK START","ALAR KOTKAS",""
"2 QUICK START","PEARU PAULUS",""
"2+2","АЛЕКСАНДР АЛЕКСАНДРОВИЧ БРЕСЛАВСКИЙ",""
"23:45","АННА КЛИМОВА",""
"23:45","ASHLEY",""
"23:45","ЛОЯ",""
"23:45","АННА КИРИЛЛОВА",""
"23:45","ГРИГОРИЙ БОГАЧЕВ",""
"23:45","ГЕОРГИЙ ЮХАНОВ",""
"23:45","АННА БОРОНИНА",""
"24 ЧАСА","МИХАИЛ ПОЗДЕЕВ",""
"25/17","АНДРЕЙ ПОЗДНУХОВ",""
"25/17","БЛЕДНЫЙ","https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_(%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BD%D1%82)"
"25/17","БОГДАН СОЛОДОВНИК",""
"25/17","РУСТАВЕЛИ",""
"25/17","JEEEP",""
"25/17","АНТ","https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82_(%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BD%D1%82)"
"25/17","АНТОН ЗАВЬЯЛОВ",""
"25/17","ТАМАРА СЕРГЕЕВА",""
"25/17","A-NIK",""
"25/17","ИЛЬЯ КУЗНЕЦОВ",""
"25/17","ПАВЕЛ ЧЕРНОГОРОДОВ",""
"25/17","ТОМА АМОТ","https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D0%B0_%D0%90%D0%BC%D0%BE%D1%82"
"25/17","РУСТАМ МУНАСИПОВ",""
"25/17","ТАРАС АНДРЕЕВ",""
"25/17","МАКСИМ СОКОЛОВ",""
"2H COMPANY","МИХАИЛ ФЕНИЧЕВ",""
"2H COMPANY","ИЛЬЯ БАРАМИЯ",""
"2H COMPANY","АЛЕКСАНДР ЗАЙЦЕВ",""
"2H COMPANY","МИХАИЛ ИЛЬИН",""
"2XBBM","JURIS RADIONOVS",""
"2XBBM","ANDRIS LIGERS",""
"2XBBM","EDUARDS BUTKĒVIČS",""
"2XBBM","EGILS PUTNIŅŠ",""
"2XBBM","JĀNIS PREISS",""
"2XBBM","IMANTS KALNIŅŠ","https://lv.wikipedia.org/wiki/Imants_Kalni%C5%86%C5%A1"
"2XBBM","ANDRIS KRŪZIŅŠ",""
"2XL","ВЛАДИ",""
"2А9","ЗАЕВ, АЛЕКСЕЙ АНАТОЛЬЕВИЧ",""
"2ВА САМОЛЕТА","МИХАИЛ СИНДАЛОВСКИЙ",""
"2ВА САМОЛЕТА","ВЛАДИМИР ТИТОВ",""
"2ВА САМОЛЕТА","АНДРЕЙ ГРАДОВИЧ",""
"2ВА САМОЛЕТА","АЛЕКСЕЙ ЛАЗОВСКИЙ",""
"2ВА САМОЛЕТА","АЛЕКСЕЙ КАНЕВ",""
"2ВА САМОЛЕТА","АНДРЕЙ КОГАН",""
"2ВА САМОЛЕТА","АЛЕКСАНДР ШВАНЕВ",""
"2ВА САМОЛЕТА","ВАДИМ ПОКРОВСКИЙ",""
"2ВА САМОЛЕТА","ИЛЬЯ ПОТАПОВ",""
"2ВА САМОЛЕТА","СОЛОГУБ, ГРИГОРИЙ ГРИГОРЬЕВИЧ",""
"2ВА САМОЛЕТА","АНТОН БЕЛЯНКИН",""
"2ВА САМОЛЕТА","АРМЕН ЧИКУНОВ",""
"2ВА САМОЛЕТА","ДЕНИС МЕДВЕДЕВ",""
"2ВА САМОЛЕТА","СЕРГЕЙ КУЛАКОВ",""
"2Г5Р1О7Т","БЛЕДНЫЙ",""
"3+2","НIНЭЛЬ КАРПОВIЧ",""
"3+2","ЮЛIЯ ШЫШКО",""
"3+2","АРЦЕМ МIХАЛЕНКА",""
"3+2","ЯГIАЗАР ФАРАШЯН",""
"3+2","АЛЕНА КАРПОВIЧ",""
"3+2","ЕГИАЗАР ФАРАШЯН",""
"3+2","АРТЕМ МИХАЛЕНКО",""
"3+2","ЮЛИЯ ШИШКО",""
"3+2","НИНЕЛЬ КАРПОВИЧ",""
"3+2","АЛЕНА КАРПОВИЧ",""
"33","КОСТЯ «РЕКЛЕС»",""
"3:15","СТЬОГАНОВ ОЛЕКСАНДР ЄВГЕНОВИЧ",""
"3G","AL’VIRIUS",""
"3T.ON","АЛЯКСАНДАР КЛIМКОЎ",""
"3T.ON","УЛАДЗIМЕР ЛБОЎ",""
"3T.ON","ПАВАЛ ЦЮХЦЯЕЎ",""
"3T.ON","АЛЯКСЕЙ КАГАЙ",""
"3T.ON","ВАСIЛЬ БУЛАНАЎ",""
"3T.ON","МАКСIМ РЫБАКОЎ",""
"3T.ON","МАКСIМ КАЧАЕЎ",""
"3‘ АНГЕЛ","ГРИГОРЯН, АРМЕН СЕРГЕЕВИЧ",""
"4-ATĀ","AIGARS GRĀVERS",""
"4/33","АРКАДИЙ МАРТО",""
"43 ГРАДУСА","ДМИТРИЙ ДЕНЬЩИКОВ",""
"43 ГРАДУСА","5ПЛЮХ","https://ru.wikipedia.org/wiki/5%D0%9F%D0%BB%D1%8E%D1%85"
"43 ГРАДУСА","KOTZILLA",""
"43 ГРАДУСА","ФАНТОМАС 2000",""
"43 ГРАДУСА","ALEX DEE",""
"4BIA","ОЛЕГ СЕВЕРИНОВ",""
"4BIA","АНТОН ПАВЛИКОВ",""
"4BIA","АЛЕКСЕЙ КУТУКОВ",""
"4BIA","ПАВЕЛ ЧЕЧИКОВ",""
"4FUN","RIMANTAS JASENKA",""
"4FUN","JULIJA RITČIK",""
"4FUN","JUSTAS JASENKA",""
"4FUN","ANDŽEJ ZUJEVIČ",""
"4FUN","LAIMONAS STANIULIONIS",""
"4POST","БИКБАЕВ, ДМИТРИЙ АМИРИЗОВИЧ",""
"4POST","ИЛЬЯ ЗЕЛЕНОВ",""
"4POST","АЛЕКСАНДР МИХАЛЕВ",""
"4POST","ДМИТРИЙ ПЕРШИН",""
"4POST","ДМИТРИЙ КЛЕЙМАН",""
"4POST","КИРИЛЛ ФЕДОРОВ",""
"4POST","ШАМИЛЬ АХМЕТЖАНОВ",""
"4POST","БОРИС АКИМОВ",""
"4POST","ЕВГЕНИЙ ПРОКОПЕНКО",""
"4ЕРВОНАРУТТА","АНДРЕЙ ШАБАЕВ",""
"4ЕХОВ","АЛЕКСЕЙ ЮШКЕВИЧ",""
"4ЕХОВ","ПАВЕЛ ЕВЛАХОВ",""
"4ЕХОВ","ЕВГЕНИЙ РИНКЕВИЧ",""
"4ЕХОВ","АЛЕКСАНДР МОНРО",""
"4ЕХОВ","БОРИС ИСТОМИН",""
"4ЕХОВ","ДМИТРИЙ ЛОСЕВ",""
"5 VYMIR","ВАДИМ ЛАЗАРЕВ",""
"5 VYMIR","КОСТЯНТИН ПОЧТАР",""
"5 VYMIR","РОМАН ГАРКАВЕНКО",""
"5 VYMIR","СЕМЕН ТЕРЕЩЕНКО",""
"5'NIZZA","ЗАПОРОЖЕЦЬ АНДРIЙ ОЛЕКСАНДРОВИЧ","https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D1%86%D1%8C_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
"5'NIZZA","БАБКIН СЕРГIЙ МИКОЛАЙОВИЧ",""
"5-TH AVENUE SWING ORCHESTRA","ЛЕВКИН, ИГОРЬ ИВАНОВИЧ",""
"5001","ЖАРИКОВ, СЕРГЕЙ АЛЕКСЕЕВИЧ",""
"5DIEZ","ЕГОР БРУС",""
"5DIEZ","ВИКТОР АВСАРАГОВ",""
"5DIEZ","КОНСТАНТИН ПОЗНЕКОВ",""
"5DIEZ","ЕВГЕНИЙ БЕЛОУСОВ",""
"5DIEZ","СЕРГЕЙ ПОЛЯНСКИЙ",""
"5DIEZ","ГРИГОРИЙ КАРПОВ",""
"5DIEZ","АЛЕКСЕЙ ФЕДЯЕВ",""
"5DIEZ","АННА КИРИЛЛОВА",""
"5DIEZ","СТАНИСЛАВА МАТВЕЕВА",""
"5DIEZ","МАКСИМ ЛУКЬЯНОВ",""
"5DIEZ","НИКОЛАЙ ВАСИЛЬЕВ",""
"5DIEZ","РОМАН КОСТЫЧУК",""
"5STA FAMILY","ВАЛЕРИЙ ЕФРЕМОВ",""
"5STA FAMILY","ЮЛИАННА КАРАУЛОВА",""
"5STA FAMILY","ВАСИЛИЙ КОСИНСКИЙ",""
"5STA FAMILY","ЛОЯ","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%8F_(%D0%BF%D0%B5%D0%B2%D0%B8%D1%86%D0%B0)"
"5STA FAMILY","АНТОН РАДАЕВ",""
"5STA FAMILY","КОЗЛОВА, ВАЛЕРИЯ СЕРГЕЕВНА","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B7%D0%BB%D0%BE%D0%B2%D0%B0,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D1%8F_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0"
"69 DANGUJE","GODA SABUTYTĖ",""
"69 DANGUJE","INGRIDA MARTINKĖNAITĖ",""
"69 DANGUJE","NIJOLĖ PAREIGYTĖ","https://lt.wikipedia.org/wiki/Nijol%C4%97_Pareigyt%C4%97"
"69 DANGUJE","KARINA KRYSKO","https://lt.wikipedia.org/wiki/Karina_Krysko"
"69Б","МИХАИЛ ТРУХАНОВ",""
"69Б","ПАВЕЛ ТРИФОНОВ",""
"7000$","РОМАН ДОКУКИН",""
"7000$","АЛЕКСАНДР ГУРЕНКО",""
"7000$","СТАНИСЛАВ ВЛАСОВ",""
"7000$","АЛЕКСЕЙ КУЗНЕЦОВ",""
"7000$","КОРЧАГИН",""
"7000$","МИХАИЛ БЕКЕТОВ",""
"7000$","МАКС АЛЕКСЕЕВ",""
"7000$","АЛЬБЕРТ РОДИН",""
"7000$","ИВАН ИГНАТОВ",""
"7000$","ЮРИЙ БАЛАНОВ",""
"7000$","ДМИТРИЙ КРУПИН",""
"7000$","ИВАН КУЗНЕЦОВ",""
"777","СКЛЯР, АЛЕКСАНДР ФЕЛИКСОВИЧ",""
"777","AVO ULVIK",""
"777","TÕNIS MÄGI",""
"777","ШУМОВ, ВАСИЛИЙ ГЕРАРДОВИЧ",""
"7Б","ИГОРЬ ЧЕРНЫШЕВ",""
"7Б","МИХАИЛ МИТРОФАНОВ",""
"7Б","СТАНИСЛАВ ЦЫБУЛЬСКИЙ",""
"7Б","ДЕМЬЯН, ИВАН КОНСТАНТИНОВИЧ","https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D1%8C%D1%8F%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
"7Б","АНДРЕЙ ПРОСВЕТОВ",""
"7Б","АНДРЕЙ КАТАЛКИН",""
"7Б","ПЕТР ЛОСЕВ",""
"7Б","АНДРЕЙ БЕЛОВ",""
"9-Й РАЙОН","АЛЕКСАНДР ШЕВКУН",""
"9-Й РАЙОН","ЕВГЕНИЙ КУЧУМОВ",""
